SCENARIO_NAME,YEAR_START,YEAR_END,ITERATIONS,BROWNFIELD_EXPLORATION_ON,GREENFIELD_EXPLORATION_ON,GREENFIELD_BACKGROUND,PRIORITY_ACTIVE,PRIORITY_MARGINAL,MARGINAL_RECOVERY,RANDOM_SEED,GENERATE_ALL_COPRODUCTS,UPDATE_VALUES
High Growth,2000,2050,100,1,1,0,1,1,1,800,1,0
Low Growth,2000,2050,100,1,1,0,1,1,1,800,1,0
Decoupling,2000,2050,100,1,1,0,1,1,1,800,1,0
High Growth - Priority Active Off,2000,2050,100,1,1,0,0,1,1,800,1,0
High Growth - Update Values On,2000,2050,100,1,1,0,1,1,1,800,1,1
High Growth - Exploration Off,2000,2050,100,0,0,0,1,1,1,800,1,0
High Growth - Exploration Background Only,2000,2050,100,0,0,5,1,1,1,800,1,0
